Idiom	WiktionaryURL	Pos	Neg	Neu	Inapprop.	Total	%Pos	%Neg	%Neu	Maj. Label	FilterOut(X)
Tom, Dick and Harry	https://en.wiktionary.org/wiki/Tom,_Dick_and_Harry	0	1	9	0	10	0.000	0.100	0.900	neutral	
Trojan-horse	https://en.wiktionary.org/wiki/Trojan-horse	1	4	5	0	10	0.100	0.400	0.500	neutral	
Wall Street	https://en.wiktionary.org/wiki/Wall_Street	1	0	9	0	10	0.100	0.000	0.900	neutral	
White House	https://en.wiktionary.org/wiki/White_House	0	0	10	0	10	0.000	0.000	1.000	neutral	
X factor	https://en.wiktionary.org/wiki/X_factor	4	0	6	0	10	0.400	0.000	0.600	neutral	
X's and O's	https://en.wiktionary.org/wiki/X's_and_O's	0	0	10	0	10	0.000	0.000	1.000	neutral	
a bit much	https://en.wiktionary.org/wiki/a_bit_much	1	3	6	0	10	0.100	0.300	0.600	neutral	
a bridge too far	https://en.wiktionary.org/wiki/a_bridge_too_far	1	3	6	0	10	0.100	0.300	0.600	neutral	
a good deal	https://en.wiktionary.org/wiki/a_good_deal	10	0	0	0	10	1.000	0.000	0.000	positive	
a great deal	https://en.wiktionary.org/wiki/a_great_deal	7	0	3	0	10	0.700	0.000	0.300	positive	X
a hair's breadth	https://en.wiktionary.org/wiki/a_hair's_breadth	0	0	10	0	10	0.000	0.000	1.000	neutral	
a life of its own	https://en.wiktionary.org/wiki/a_life_of_its_own	0	0	10	0	10	0.000	0.000	1.000	neutral	
a notch above	https://en.wiktionary.org/wiki/a_notch_above	8	0	2	0	10	0.800	0.000	0.200	positive	
abandon ship	https://en.wiktionary.org/wiki/abandon_ship	0	9	1	0	10	0.000	0.900	0.100	negative	
about time	https://en.wiktionary.org/wiki/about_time	2	2	6	0	10	0.200	0.200	0.600	neutral	
about to	https://en.wiktionary.org/wiki/about_to	0	0	10	0	10	0.000	0.000	1.000	neutral	
about turn	https://en.wiktionary.org/wiki/about_turn	0	0	10	0	10	0.000	0.000	1.000	neutral	
above and beyond	https://en.wiktionary.org/wiki/above_and_beyond	8	0	2	0	10	0.800	0.000	0.200	positive	
above and beyond the call of duty	https://en.wiktionary.org/wiki/above_and_beyond_the_call_of_duty	9	1	0	0	10	0.900	0.100	0.000	positive	
above board	https://en.wiktionary.org/wiki/above_board	8	0	2	0	10	0.800	0.000	0.200	positive	
above the law	https://en.wiktionary.org/wiki/above_the_law	1	4	5	0	10	0.100	0.400	0.500	neutral	
above water	https://en.wiktionary.org/wiki/above_water	8	0	2	0	10	0.800	0.000	0.200	positive	
abstract idea	https://en.wiktionary.org/wiki/abstract_idea	0	0	10	0	10	0.000	0.000	1.000	neutral	
accident of birth	https://en.wiktionary.org/wiki/accident_of_birth	0	4	6	0	10	0.000	0.400	0.600	neutral	
accident waiting to happen	https://en.wiktionary.org/wiki/accident_waiting_to_happen	0	9	0	1	10	0.000	0.900	0.000	negative	
according to	https://en.wiktionary.org/wiki/according_to	0	0	10	0	10	0.000	0.000	1.000	neutral	
ace in the hole	https://en.wiktionary.org/wiki/ace_in_the_hole	5	0	5	0	10	0.500	0.000	0.500	positive	
ace up one's sleeve	https://en.wiktionary.org/wiki/ace_up_one's_sleeve	5	0	5	0	10	0.500	0.000	0.500	positive	
acquired taste	https://en.wiktionary.org/wiki/acquired_taste	3	0	7	0	10	0.300	0.000	0.700	neutral	
across the board	https://en.wiktionary.org/wiki/across_the_board	0	0	10	0	10	0.000	0.000	1.000	neutral	
across the pond	https://en.wiktionary.org/wiki/across_the_pond	0	0	10	0	10	0.000	0.000	1.000	neutral	
act of Congress	https://en.wiktionary.org/wiki/act_of_Congress	0	2	8	0	10	0.000	0.200	0.800	neutral	
act one's age	https://en.wiktionary.org/wiki/act_one's_age	3	0	7	0	10	0.300	0.000	0.700	neutral	
act out	https://en.wiktionary.org/wiki/act_out	0	1	9	0	10	0.000	0.100	0.900	neutral	
act up	https://en.wiktionary.org/wiki/act_up	0	10	0	0	10	0.000	1.000	0.000	negative	
add fuel to the fire	https://en.wiktionary.org/wiki/add_fuel_to_the_fire	0	10	0	0	10	0.000	1.000	0.000	negative	
add insult to injury	https://en.wiktionary.org/wiki/add_insult_to_injury	0	10	0	0	10	0.000	1.000	0.000	negative	
add oil	https://en.wiktionary.org/wiki/add_oil	4	0	6	0	10	0.400	0.000	0.600	neutral	
add up	https://en.wiktionary.org/wiki/add_up	2	0	8	0	10	0.200	0.000	0.800	neutral	
adrenaline junkie	https://en.wiktionary.org/wiki/adrenaline_junkie	2	3	5	0	10	0.200	0.300	0.500	neutral	
after all	https://en.wiktionary.org/wiki/after_all	0	0	10	0	10	0.000	0.000	1.000	neutral	
after the fact	https://en.wiktionary.org/wiki/after_the_fact	0	4	6	0	10	0.000	0.400	0.600	neutral	
again and again	https://en.wiktionary.org/wiki/again_and_again	0	1	9	0	10	0.000	0.100	0.900	neutral	
against all odds	https://en.wiktionary.org/wiki/against_all_odds	5	2	3	0	10	0.500	0.200	0.300	positive	
against the clock	https://en.wiktionary.org/wiki/against_the_clock	1	2	7	0	10	0.100	0.200	0.700	neutral	
against the grain	https://en.wiktionary.org/wiki/against_the_grain	0	6	4	0	10	0.000	0.600	0.400	negative	
against the law	https://en.wiktionary.org/wiki/against_the_law	0	9	1	0	10	0.000	0.900	0.100	negative	
against the run of play	https://en.wiktionary.org/wiki/against_the_run_of_play	1	5	4	0	10	0.100	0.500	0.400	negative	
against the world	https://en.wiktionary.org/wiki/against_the_world	4	1	5	0	10	0.400	0.100	0.500	neutral	
age out	https://en.wiktionary.org/wiki/age_out	0	5	5	0	10	0.000	0.500	0.500	negative	
agree to disagree	https://en.wiktionary.org/wiki/agree_to_disagree	3	0	7	0	10	0.300	0.000	0.700	neutral	
agree with	https://en.wiktionary.org/wiki/agree_with	6	0	4	0	10	0.600	0.000	0.400	positive	
agreement in principle	https://en.wiktionary.org/wiki/agreement_in_principle	4	0	6	0	10	0.400	0.000	0.600	neutral	
aha moment	https://en.wiktionary.org/wiki/aha_moment	6	1	3	0	10	0.600	0.100	0.300	positive	
ahead of one's time	https://en.wiktionary.org/wiki/ahead_of_one's_time	5	0	5	0	10	0.500	0.000	0.500	positive	
ahead of the curve	https://en.wiktionary.org/wiki/ahead_of_the_curve	10	0	0	0	10	1.000	0.000	0.000	positive	
ahead of the game	https://en.wiktionary.org/wiki/ahead_of_the_game	7	0	3	0	10	0.700	0.000	0.300	positive	
aim at	https://en.wiktionary.org/wiki/aim_at	0	0	10	0	10	0.000	0.000	1.000	neutral	
aim to	https://en.wiktionary.org/wiki/aim_to	0	0	10	0	10	0.000	0.000	1.000	neutral	
air out	https://en.wiktionary.org/wiki/air_out	0	0	10	0	10	0.000	0.000	1.000	neutral	
alarm bell	https://en.wiktionary.org/wiki/alarm_bell	0	1	9	0	10	0.000	0.100	0.900	neutral	
alive and kicking	https://en.wiktionary.org/wiki/alive_and_kicking	10	0	0	0	10	1.000	0.000	0.000	positive	
all along	https://en.wiktionary.org/wiki/all_along	0	1	9	0	10	0.000	0.100	0.900	neutral	
all and sundry	https://en.wiktionary.org/wiki/all_and_sundry	0	0	10	0	10	0.000	0.000	1.000	neutral	
all at once	https://en.wiktionary.org/wiki/all_at_once	0	1	9	0	10	0.000	0.100	0.900	neutral	
all bets are off	https://en.wiktionary.org/wiki/all_bets_are_off	0	2	8	0	10	0.000	0.200	0.800	neutral	
all ears	https://en.wiktionary.org/wiki/all_ears	2	0	8	0	10	0.200	0.000	0.800	neutral	
all eyes	https://en.wiktionary.org/wiki/all_eyes	2	0	8	0	10	0.200	0.000	0.800	neutral	
all hell breaks loose	https://en.wiktionary.org/wiki/all_hell_breaks_loose	0	10	0	0	10	0.000	1.000	0.000	negative	
all hell broke loose	https://en.wiktionary.org/wiki/all_hell_broke_loose	0	10	0	0	10	0.000	1.000	0.000	negative	
all holiday	https://en.wiktionary.org/wiki/all_holiday	1	4	5	0	10	0.100	0.400	0.500	neutral	
all in a day's work	https://en.wiktionary.org/wiki/all_in_a_day's_work	1	4	5	0	10	0.100	0.400	0.500	neutral	
all it's cracked up to be	https://en.wiktionary.org/wiki/all_it's_cracked_up_to_be	5	3	2	0	10	0.500	0.300	0.200	positive	
all kinds of	https://en.wiktionary.org/wiki/all_kinds_of	0	0	10	0	10	0.000	0.000	1.000	neutral	
all nations	https://en.wiktionary.org/wiki/all_nations	0	0	10	0	10	0.000	0.000	1.000	neutral	
all one's eggs in one basket	https://en.wiktionary.org/wiki/all_one's_eggs_in_one_basket	0	2	8	0	10	0.000	0.200	0.800	neutral	
all out	https://en.wiktionary.org/wiki/all_out	4	1	5	0	10	0.400	0.100	0.500	neutral	
all over	https://en.wiktionary.org/wiki/all_over	0	0	10	0	10	0.000	0.000	1.000	neutral	
all over the board	https://en.wiktionary.org/wiki/all_over_the_board	1	0	9	0	10	0.100	0.000	0.900	neutral	
all over the map	https://en.wiktionary.org/wiki/all_over_the_map	0	1	9	0	10	0.000	0.100	0.900	neutral	
all over the place	https://en.wiktionary.org/wiki/all_over_the_place	0	4	6	0	10	0.000	0.400	0.600	neutral	
all over with	https://en.wiktionary.org/wiki/all_over_with	0	1	9	0	10	0.000	0.100	0.900	neutral	
all rights reserved	https://en.wiktionary.org/wiki/all_rights_reserved	1	0	9	0	10	0.100	0.000	0.900	neutral	
all set	https://en.wiktionary.org/wiki/all_set	7	0	3	0	10	0.700	0.000	0.300	positive	
all that	https://en.wiktionary.org/wiki/all_that	2	0	8	0	10	0.200	0.000	0.800	neutral	
all that jazz	https://en.wiktionary.org/wiki/all_that_jazz	0	0	10	0	10	0.000	0.000	1.000	neutral	
all the marbles	https://en.wiktionary.org/wiki/all_the_marbles	2	0	8	0	10	0.200	0.000	0.800	neutral	
all the rage	https://en.wiktionary.org/wiki/all_the_rage	5	3	2	0	10	0.500	0.300	0.200	positive	
all the same	https://en.wiktionary.org/wiki/all_the_same	1	0	9	0	10	0.100	0.000	0.900	neutral	
all the while	https://en.wiktionary.org/wiki/all_the_while	0	0	10	0	10	0.000	0.000	1.000	neutral	
all there	https://en.wiktionary.org/wiki/all_there	1	2	7	0	10	0.100	0.200	0.700	neutral	
all things being equal	https://en.wiktionary.org/wiki/all_things_being_equal	1	0	9	0	10	0.100	0.000	0.900	neutral	
all things considered	https://en.wiktionary.org/wiki/all_things_considered	0	0	10	0	10	0.000	0.000	1.000	neutral	
all things to all people	https://en.wiktionary.org/wiki/all_things_to_all_people	5	0	5	0	10	0.500	0.000	0.500	positive	
all told	https://en.wiktionary.org/wiki/all_told	0	1	9	0	10	0.000	0.100	0.900	neutral	
all very well	https://en.wiktionary.org/wiki/all_very_well	7	0	3	0	10	0.700	0.000	0.300	positive	
all wet	https://en.wiktionary.org/wiki/all_wet	0	7	3	0	10	0.000	0.700	0.300	negative	
almighty dollar	https://en.wiktionary.org/wiki/almighty_dollar	3	1	6	0	10	0.300	0.100	0.600	neutral	
along about	https://en.wiktionary.org/wiki/along_about	0	0	10	0	10	0.000	0.000	1.000	neutral	
along the lines	https://en.wiktionary.org/wiki/along_the_lines	0	0	10	0	10	0.000	0.000	1.000	neutral	
also known as	https://en.wiktionary.org/wiki/also_known_as	0	0	10	0	10	0.000	0.000	1.000	neutral	
amateur hour	https://en.wiktionary.org/wiki/amateur_hour	0	4	6	0	10	0.000	0.400	0.600	neutral	
ambulance chasing	https://en.wiktionary.org/wiki/ambulance_chasing	0	4	6	0	10	0.000	0.400	0.600	neutral	
an apple a day	https://en.wiktionary.org/wiki/an_apple_a_day	6	0	4	0	10	0.600	0.000	0.400	positive	
an axe to grind	https://en.wiktionary.org/wiki/an_axe_to_grind	0	8	2	0	10	0.000	0.800	0.200	negative	
an offer one can't refuse	https://en.wiktionary.org/wiki/an_offer_one_can't_refuse	4	0	6	0	10	0.400	0.000	0.600	neutral	
ancient history	https://en.wiktionary.org/wiki/ancient_history	0	0	10	0	10	0.000	0.000	1.000	neutral	
and all	https://en.wiktionary.org/wiki/and_all	0	0	10	0	10	0.000	0.000	1.000	neutral	
and all this	https://en.wiktionary.org/wiki/and_all_this	0	1	9	0	10	0.000	0.100	0.900	neutral	
and be done with it	https://en.wiktionary.org/wiki/and_be_done_with_it	0	0	10	0	10	0.000	0.000	1.000	neutral	
and change	https://en.wiktionary.org/wiki/and_change	0	1	9	0	10	0.000	0.100	0.900	neutral	
and counting	https://en.wiktionary.org/wiki/and_counting	0	0	10	0	10	0.000	0.000	1.000	neutral	
and finally	https://en.wiktionary.org/wiki/and_finally	0	0	10	0	10	0.000	0.000	1.000	neutral	
and his mother	https://en.wiktionary.org/wiki/and_his_mother	0	0	10	0	10	0.000	0.000	1.000	neutral	
and how	https://en.wiktionary.org/wiki/and_how	0	0	10	0	10	0.000	0.000	1.000	neutral	
and shit	https://en.wiktionary.org/wiki/and_shit	0	6	0	4	10	0.000	0.600	0.000	negative	
and so forth	https://en.wiktionary.org/wiki/and_so_forth	0	0	10	0	10	0.000	0.000	1.000	neutral	
and so on	https://en.wiktionary.org/wiki/and_so_on	0	0	10	0	10	0.000	0.000	1.000	neutral	
and the like	https://en.wiktionary.org/wiki/and_the_like	0	0	10	0	10	0.000	0.000	1.000	neutral	
and then some	https://en.wiktionary.org/wiki/and_then_some	0	0	10	0	10	0.000	0.000	1.000	neutral	
and whatnot	https://en.wiktionary.org/wiki/and_whatnot	0	0	10	0	10	0.000	0.000	1.000	neutral	
angle for	https://en.wiktionary.org/wiki/angle_for	0	0	10	0	10	0.000	0.000	1.000	neutral	
angle of attack	https://en.wiktionary.org/wiki/angle_of_attack	0	1	9	0	10	0.000	0.100	0.900	neutral	
answer back	https://en.wiktionary.org/wiki/answer_back	0	3	7	0	10	0.000	0.300	0.700	neutral	
answer for	https://en.wiktionary.org/wiki/answer_for	0	0	10	0	10	0.000	0.000	1.000	neutral	
answer on a postcard	https://en.wiktionary.org/wiki/answer_on_a_postcard	1	0	9	0	10	0.100	0.000	0.900	neutral	
answer to	https://en.wiktionary.org/wiki/answer_to	0	0	10	0	10	0.000	0.000	1.000	neutral	
any old	https://en.wiktionary.org/wiki/any_old	0	0	10	0	10	0.000	0.000	1.000	neutral	
anyone's guess	https://en.wiktionary.org/wiki/anyone's_guess	1	0	9	0	10	0.100	0.000	0.900	neutral	
anything goes	https://en.wiktionary.org/wiki/anything_goes	2	0	8	0	10	0.200	0.000	0.800	neutral	
apple of someone's eye	https://en.wiktionary.org/wiki/apple_of_someone's_eye	10	0	0	0	10	1.000	0.000	0.000	positive	
apples and oranges	https://en.wiktionary.org/wiki/apples_and_oranges	0	0	10	0	10	0.000	0.000	1.000	neutral	
area of influence	https://en.wiktionary.org/wiki/area_of_influence	1	0	9	0	10	0.100	0.000	0.900	neutral	
arm and a leg	https://en.wiktionary.org/wiki/arm_and_a_leg	0	7	3	0	10	0.000	0.700	0.300	negative	
arm candy	https://en.wiktionary.org/wiki/arm_candy	7	1	2	0	10	0.700	0.100	0.200	positive	
arm up	https://en.wiktionary.org/wiki/arm_up	0	2	8	0	10	0.000	0.200	0.800	neutral	
arm's length	https://en.wiktionary.org/wiki/arm's_length	0	2	8	0	10	0.000	0.200	0.800	neutral	
around the clock	https://en.wiktionary.org/wiki/around_the_clock	0	0	10	0	10	0.000	0.000	1.000	neutral	
around the corner	https://en.wiktionary.org/wiki/around_the_corner	0	0	10	0	10	0.000	0.000	1.000	neutral	
arrive at	https://en.wiktionary.org/wiki/arrive_at	0	0	10	0	10	0.000	0.000	1.000	neutral	
as I was saying	https://en.wiktionary.org/wiki/as_I_was_saying	0	0	10	0	10	0.000	0.000	1.000	neutral	
as a rule	https://en.wiktionary.org/wiki/as_a_rule	0	0	10	0	10	0.000	0.000	1.000	neutral	
as a whole	https://en.wiktionary.org/wiki/as_a_whole	0	0	10	0	10	0.000	0.000	1.000	neutral	
as all get-out	https://en.wiktionary.org/wiki/as_all_get-out	0	0	10	0	10	0.000	0.000	1.000	neutral	
as best one can	https://en.wiktionary.org/wiki/as_best_one_can	5	0	5	0	10	0.500	0.000	0.500	positive	
as far as	https://en.wiktionary.org/wiki/as_far_as	2	0	8	0	10	0.200	0.000	0.800	neutral	
as far as one knows	https://en.wiktionary.org/wiki/as_far_as_one_knows	0	0	10	0	10	0.000	0.000	1.000	neutral	
as it happens	https://en.wiktionary.org/wiki/as_it_happens	0	0	10	0	10	0.000	0.000	1.000	neutral	
as long as	https://en.wiktionary.org/wiki/as_long_as	0	0	10	0	10	0.000	0.000	1.000	neutral	
as luck would have it	https://en.wiktionary.org/wiki/as_luck_would_have_it	10	0	0	0	10	1.000	0.000	0.000	positive	
as much	https://en.wiktionary.org/wiki/as_much	0	0	10	0	10	0.000	0.000	1.000	neutral	
as often as not	https://en.wiktionary.org/wiki/as_often_as_not	0	0	10	0	10	0.000	0.000	1.000	neutral	
as soon as	https://en.wiktionary.org/wiki/as_soon_as	0	0	10	0	10	0.000	0.000	1.000	neutral	
as the crow flies	https://en.wiktionary.org/wiki/as_the_crow_flies	0	0	10	0	10	0.000	0.000	1.000	neutral	
as the day is long	https://en.wiktionary.org/wiki/as_the_day_is_long	3	1	6	0	10	0.300	0.100	0.600	neutral	
as the next guy	https://en.wiktionary.org/wiki/as_the_next_guy	1	0	9	0	10	0.100	0.000	0.900	neutral	
as well	https://en.wiktionary.org/wiki/as_well	0	0	10	0	10	0.000	0.000	1.000	neutral	
as well as	https://en.wiktionary.org/wiki/as_well_as	0	0	10	0	10	0.000	0.000	1.000	neutral	
as yet	https://en.wiktionary.org/wiki/as_yet	0	0	10	0	10	0.000	0.000	1.000	neutral	
as you know	https://en.wiktionary.org/wiki/as_you_know	0	0	10	0	10	0.000	0.000	1.000	neutral	
ask after	https://en.wiktionary.org/wiki/ask_after	1	0	9	0	10	0.100	0.000	0.900	neutral	
ask around	https://en.wiktionary.org/wiki/ask_around	0	0	10	0	10	0.000	0.000	1.000	neutral	
ask for	https://en.wiktionary.org/wiki/ask_for	1	0	9	0	10	0.100	0.000	0.900	neutral	
ask for it	https://en.wiktionary.org/wiki/ask_for_it	0	6	4	0	10	0.000	0.600	0.400	negative	
ask out	https://en.wiktionary.org/wiki/ask_out	2	0	8	0	10	0.200	0.000	0.800	neutral	
ask the question	https://en.wiktionary.org/wiki/ask_the_question	0	0	10	0	10	0.000	0.000	1.000	neutral	
asleep at the switch	https://en.wiktionary.org/wiki/asleep_at_the_switch	0	9	1	0	10	0.000	0.900	0.100	negative	
assault and battery	https://en.wiktionary.org/wiki/assault_and_battery	0	9	1	0	10	0.000	0.900	0.100	negative	
assume the mantle	https://en.wiktionary.org/wiki/assume_the_mantle	1	0	9	0	10	0.100	0.000	0.900	neutral	
assume the position	https://en.wiktionary.org/wiki/assume_the_position	0	1	9	0	10	0.000	0.100	0.900	neutral	
at a canter	https://en.wiktionary.org/wiki/at_a_canter	3	0	7	0	10	0.300	0.000	0.700	neutral	
at a glance	https://en.wiktionary.org/wiki/at_a_glance	0	0	10	0	10	0.000	0.000	1.000	neutral	
at a loss	https://en.wiktionary.org/wiki/at_a_loss	0	10	0	0	10	0.000	1.000	0.000	negative	
at a loss for words	https://en.wiktionary.org/wiki/at_a_loss_for_words	0	3	7	0	10	0.000	0.300	0.700	neutral	
at a moment's notice	https://en.wiktionary.org/wiki/at_a_moment's_notice	1	0	9	0	10	0.100	0.000	0.900	neutral	
at a pinch	https://en.wiktionary.org/wiki/at_a_pinch	0	3	7	0	10	0.000	0.300	0.700	neutral	
at a stand	https://en.wiktionary.org/wiki/at_a_stand	0	8	2	0	10	0.000	0.800	0.200	negative	
at all	https://en.wiktionary.org/wiki/at_all	0	0	10	0	10	0.000	0.000	1.000	neutral	
at all hours	https://en.wiktionary.org/wiki/at_all_hours	0	0	10	0	10	0.000	0.000	1.000	neutral	
at arm's length	https://en.wiktionary.org/wiki/at_arm's_length	0	4	6	0	10	0.000	0.400	0.600	neutral	
at bay	https://en.wiktionary.org/wiki/at_bay	0	3	7	0	10	0.000	0.300	0.700	neutral	
at best	https://en.wiktionary.org/wiki/at_best	9	0	1	0	10	0.900	0.000	0.100	positive	
at bottom	https://en.wiktionary.org/wiki/at_bottom	1	2	7	0	10	0.100	0.200	0.700	neutral	
at cross-purposes	https://en.wiktionary.org/wiki/at_cross-purposes	0	6	4	0	10	0.000	0.600	0.400	negative	
at death's door	https://en.wiktionary.org/wiki/at_death's_door	0	10	0	0	10	0.000	1.000	0.000	negative	
at each other's throats	https://en.wiktionary.org/wiki/at_each_other's_throats	0	10	0	0	10	0.000	1.000	0.000	negative	
at first	https://en.wiktionary.org/wiki/at_first	0	0	10	0	10	0.000	0.000	1.000	neutral	
at first blush	https://en.wiktionary.org/wiki/at_first_blush	3	0	7	0	10	0.300	0.000	0.700	neutral	
at full tilt	https://en.wiktionary.org/wiki/at_full_tilt	3	0	7	0	10	0.300	0.000	0.700	neutral	
at heart	https://en.wiktionary.org/wiki/at_heart	2	0	8	0	10	0.200	0.000	0.800	neutral	
at home	https://en.wiktionary.org/wiki/at_home	3	0	7	0	10	0.300	0.000	0.700	neutral	
at large	https://en.wiktionary.org/wiki/at_large	0	3	7	0	10	0.000	0.300	0.700	neutral	
at last	https://en.wiktionary.org/wiki/at_last	1	0	9	0	10	0.100	0.000	0.900	neutral	
at long last	https://en.wiktionary.org/wiki/at_long_last	1	0	9	0	10	0.100	0.000	0.900	neutral	
at odds	https://en.wiktionary.org/wiki/at_odds	0	9	1	0	10	0.000	0.900	0.100	negative	
at once	https://en.wiktionary.org/wiki/at_once	0	0	10	0	10	0.000	0.000	1.000	neutral	
at one's fingertips	https://en.wiktionary.org/wiki/at_one's_fingertips	3	0	7	0	10	0.300	0.000	0.700	neutral	
at pains	https://en.wiktionary.org/wiki/at_pains	1	1	8	0	10	0.100	0.100	0.800	neutral	
at peace	https://en.wiktionary.org/wiki/at_peace	10	0	0	0	10	1.000	0.000	0.000	positive	
