idiom	patterns
ace in the hole	"[[{""LEMMA"": {""REGEX"": ""(?i)^ace$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^hole$""}}]]"
ace up one's sleeve	"[[{""LEMMA"": {""REGEX"": ""(?i)^ace$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^sleeve$""}}]]"
acquired taste	"[[{""LEMMA"": {""REGEX"": ""(?i)^acquire$""}}, {""LEMMA"": {""REGEX"": ""(?i)^taste$""}}]]"
across the board	"[[{""LEMMA"": {""REGEX"": ""(?i)^across$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^board$""}}], [{""TEXT"": {""REGEX"": ""(?i)^across$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^the$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^board$""}}]]"
across the pond	"[[{""LEMMA"": {""REGEX"": ""(?i)^across$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^pond$""}}]]"
act of congress	"[[{""LEMMA"": {""REGEX"": ""(?i)^act$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^congress$""}}]]"
act one's age	"[[{""LEMMA"": {""REGEX"": ""(?i)^act$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^age$""}}]]"
add fuel to the fire	"[[{""LEMMA"": {""REGEX"": ""(?i)^add$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fuel$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^fire$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^add$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fuel$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fire$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^add$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fuel$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^flame$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^pour$""}}, {""LEMMA"": {""REGEX"": ""(?i)^gasoline$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^fire$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^throw$""}}, {""LEMMA"": {""REGEX"": ""(?i)^gasoline$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^fire$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^throw$""}}, {""LEMMA"": {""REGEX"": ""(?i)^gas$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^fire$""}}]]"
add insult to injury	"[[{""LEMMA"": {""REGEX"": ""(?i)^add$""}}, {""LEMMA"": {""REGEX"": ""(?i)^insult$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^injury$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^heap$""}}, {""LEMMA"": {""REGEX"": ""(?i)^insult$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""LEMMA"": {""REGEX"": ""(?i)^injury$""}}]]"
adrenaline junkie	"[[{""LEMMA"": {""REGEX"": ""(?i)^adrenaline$""}}, {""LEMMA"": {""REGEX"": ""(?i)^junkie$""}}]]"
after the fact	"[[{""LEMMA"": {""REGEX"": ""(?i)^after$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^fact$""}}]]"
again and again	"[[{""LEMMA"": {""REGEX"": ""(?i)^again$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^again$""}}]]"
against all odds	"[[{""LEMMA"": {""REGEX"": ""(?i)^against$""}}, {""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^odd$""}}]]"
against the clock	"[[{""LEMMA"": {""REGEX"": ""(?i)^against$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^clock$""}}]]"
against the grain	"[[{""LEMMA"": {""REGEX"": ""(?i)^against$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^grain$""}}]]"
against the law	"[[{""LEMMA"": {""REGEX"": ""(?i)^against$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^law$""}}]]"
against the run of play	"[[{""LEMMA"": {""REGEX"": ""(?i)^against$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^play$""}}]]"
against the world	"[[{""LEMMA"": {""REGEX"": ""(?i)^against$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^world$""}}]]"
agree to disagree	"[[{""LEMMA"": {""REGEX"": ""(?i)^agree$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^disagree$""}}]]"
agreement in principle	"[[{""LEMMA"": {""REGEX"": ""(?i)^agreement$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^principle$""}}]]"
ahead of one's time	"[[{""LEMMA"": {""REGEX"": ""(?i)^ahead$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^time$""}}]]"
ahead of the curve	"[[{""LEMMA"": {""REGEX"": ""(?i)^ahead$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^curve$""}}]]"
ahead of the game	"[[{""LEMMA"": {""REGEX"": ""(?i)^ahead$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^game$""}}]]"
alive and kicking	"[[{""LEMMA"": {""REGEX"": ""(?i)^alive$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^kick$""}}]]"
all and sundry	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^sundry$""}}]]"
all at once	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^once$""}}]]"
all bets are off	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^bet$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}]]"
all hell breaks loose	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hell$""}}, {""LEMMA"": {""REGEX"": ""(?i)^break$""}}, {""LEMMA"": {""REGEX"": ""(?i)^loose$""}}]]"
all hell broke loose	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hell$""}}, {""LEMMA"": {""REGEX"": ""(?i)^break$""}}, {""LEMMA"": {""REGEX"": ""(?i)^loose$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^hell$""}}, {""LEMMA"": {""REGEX"": ""(?i)^break$""}}, {""LEMMA"": {""REGEX"": ""(?i)^loose$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hell$""}}, {""LEMMA"": {""REGEX"": ""(?i)^break$""}}, {""LEMMA"": {""REGEX"": ""(?i)^loose$""}}]]"
all in a day's work	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^work$""}}]]"
all it's cracked up to be	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^crack$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}]]"
all kinds of	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^kind$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
all one's eggs in one basket	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^egg$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^one$""}}, {""LEMMA"": {""REGEX"": ""(?i)^basket$""}}]]"
all over the board	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^over$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^board$""}}]]"
all over the map	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^over$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^map$""}}]]"
all over the place	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^over$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^place$""}}]]"
all over with	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^over$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
all rights reserved	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^right$""}}, {""LEMMA"": {""REGEX"": ""(?i)^reserve$""}}]]"
all that jazz	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^that$""}}, {""LEMMA"": {""REGEX"": ""(?i)^jazz$""}}]]"
all the marbles	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^marble$""}}]]"
all the rage	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^rage$""}}]]"
all the same	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^same$""}}]]"
all the while	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^while$""}}]]"
all things being equal	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^thing$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^equal$""}}]]"
all things considered	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^thing$""}}, {""LEMMA"": {""REGEX"": ""(?i)^consider$""}}]]"
all things to all people	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^thing$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^people$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^thing$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^man$""}}]]"
all very well	"[[{""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^very$""}}, {""LEMMA"": {""REGEX"": ""(?i)^well$""}}]]"
almighty dollar	"[[{""LEMMA"": {""REGEX"": ""(?i)^almighty$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dollar$""}}]]"
along the lines	"[[{""LEMMA"": {""REGEX"": ""(?i)^along$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^line$""}}]]"
also known as	"[[{""LEMMA"": {""REGEX"": ""(?i)^also$""}}, {""LEMMA"": {""REGEX"": ""(?i)^know$""}}, {""LEMMA"": {""REGEX"": ""(?i)^as$""}}]]"
ambulance chasing	"[[{""LEMMA"": {""REGEX"": ""(?i)^ambulance$""}}, {""LEMMA"": {""REGEX"": ""(?i)^chasing$""}}]]"
an apple a day	"[[{""TEXT"": ""an"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^apple$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
an axe to grind	"[[{""TEXT"": ""an"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^axe$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^grind$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^axe$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^grind$""}}]]"
an offer one can't refuse	"[[{""TEXT"": ""an"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^offer$""}}, {""LEMMA"": {""REGEX"": ""(?i)^one$""}}, {""LEMMA"": {""REGEX"": ""(?i)^ca$""}}, {""LEMMA"": {""REGEX"": ""(?i)^n't$""}}, {""LEMMA"": {""REGEX"": ""(?i)^refuse$""}}]]"
ancient history	"[[{""LEMMA"": {""REGEX"": ""(?i)^ancient$""}}, {""LEMMA"": {""REGEX"": ""(?i)^history$""}}]]"
and all this	"[[{""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^this$""}}]]"
and be done with it	"[[{""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}]]"
and his mother	"[[{""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^his$""}}, {""LEMMA"": {""REGEX"": ""(?i)^mother$""}}]]"
and so forth	"[[{""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^so$""}}, {""LEMMA"": {""REGEX"": ""(?i)^forth$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^asf$""}}]]"
and so on	"[[{""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^so$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}]]"
and the like	"[[{""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^like$""}}]]"
and then some	"[[{""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^then$""}}, {""LEMMA"": {""REGEX"": ""(?i)^some$""}}]]"
angle of attack	"[[{""LEMMA"": {""REGEX"": ""(?i)^angle$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^attack$""}}]]"
answer on a postcard	"[[{""LEMMA"": {""REGEX"": ""(?i)^answer$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^postcard$""}}]]"
anyone's guess	"[[{""LEMMA"": {""REGEX"": ""(?i)^anyone$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^guess$""}}]]"
apple of someone's eye	"[[{""LEMMA"": {""REGEX"": ""(?i)^apple$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^eye$""}}]]"
apples and oranges	"[[{""LEMMA"": {""REGEX"": ""(?i)^apple$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^orange$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^apple$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^orange$""}}]]"
area of influence	"[[{""LEMMA"": {""REGEX"": ""(?i)^area$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^influence$""}}]]"
arm and a leg	"[[{""LEMMA"": {""REGEX"": ""(?i)^arm$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^leg$""}}]]"
around the clock	"[[{""LEMMA"": {""REGEX"": ""(?i)^around$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^clock$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^round$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^clock$""}}]]"
around the corner	"[[{""LEMMA"": {""REGEX"": ""(?i)^around$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^corner$""}}]]"
